Datum;Stromverbrauch [kW];Temperatur [°C];Luftfeuchtigkeit [% r.F.];Globalstrahlung [W/m²]
01.01.2022 00:15;1120;14,8;60;0
01.01.2022 00:30;1170;14,75;60,5;0
01.01.2022 00:45;1155;14,7;61;0
01.01.2022 01:00;1150;14,45;61,5;0
01.01.2022 01:15;1145;14,2;62;0
01.01.2022 01:30;1140;14,05;62,5;0
01.01.2022 01:45;1150;13,9;63;0
01.01.2022 02:00;1145;13,8;63,5;0
01.01.2022 02:15;1150;13,7;64;0
01.01.2022 02:30;1135;13,6;64,5;0
01.01.2022 02:45;1145;13,5;65;0
01.01.2022 03:00;1140;13,5;65;0
01.01.2022 03:15;1135;13,5;65;0
01.01.2022 03:30;1140;13,5;65,5;0
01.01.2022 03:45;1145;13,5;66;0
01.01.2022 04:00;1135;13,45;66,5;0
01.01.2022 04:15;1105;13,4;67;0
01.01.2022 04:30;1105;13,2;68,5;0
01.01.2022 04:45;1125;13;70;0
01.01.2022 05:00;1130;13;69,5;0
01.01.2022 05:15;1110;13;69;0
01.01.2022 05:30;1105;13,05;68,5;0
01.01.2022 05:45;1170;13,1;68;0
01.01.2022 06:00;1100;13,2;67;0
01.01.2022 06:15;1110;13,3;66;0
01.01.2022 06:30;1140;13,45;65;0
01.01.2022 06:45;1090;13,6;64;0
01.01.2022 07:00;1140;13,1;66,5;3,5
01.01.2022 07:15;1115;12,6;69;7
01.01.2022 07:30;1075;12,55;69,5;28,5
01.01.2022 07:45;1125;12,5;70;50
01.01.2022 08:00;1100;12,7;68,5;93
01.01.2022 08:15;1070;12,9;67;136
01.01.2022 08:30;1115;13,15;66;186
01.01.2022 08:45;1060;13,4;65;236
01.01.2022 09:00;1105;13,7;64;283
01.01.2022 09:15;1105;14;63;330
01.01.2022 09:30;1065;14,05;62,5;265,5
01.01.2022 09:45;1130;14,1;62;201
01.01.2022 10:00;1105;14,15;62;226
01.01.2022 10:15;1125;14,2;62;251
01.01.2022 10:30;1100;14,35;61,5;311,5
01.01.2022 10:45;1140;14,5;61;372
01.01.2022 11:00;1095;14,5;61;308
01.01.2022 11:15;1105;14,5;61;244
01.01.2022 11:30;1125;14,55;61,5;229,5
01.01.2022 11:45;1065;14,6;62;215
01.01.2022 12:00;1135;14,55;62;186,5
01.01.2022 12:15;1085;14,5;62;158
01.01.2022 12:30;1120;14,5;62;129
01.01.2022 12:45;1095;14,5;62;100
